size,pivot,partition,callback,time
1000,Median of 3,Lomuto,Insertion Sort,2.8000000000000003e-05
2000,Median of 3,Lomuto,Insertion Sort,8.4e-05
3000,First Value,Lomuto,Insertion Sort,0.00015
4000,First Value,Lomuto,Insertion Sort,0.000215
5000,First Value,Lomuto,Insertion Sort,0.000269
6000,Median of 3,Lomuto,Insertion Sort,0.000332
7000,Median of 3,Lomuto,Insertion Sort,0.000389
8000,First Value,Lomuto,Insertion Sort,0.000455
9000,First Value,Lomuto,Insertion Sort,0.0005139999999999999
10000,First Value,Lomuto,Insertion Sort,0.000596
11000,Median of 3,Lomuto,Insertion Sort,0.000668
12000,First Value,Lomuto,Insertion Sort,0.000699
13000,Median of 3,Lomuto,Insertion Sort,0.000801
14000,Median of 3,Lomuto,Insertion Sort,0.0008550000000000001
15000,First Value,Lomuto,Insertion Sort,0.0009029999999999999
16000,Median of 3,Lomuto,Insertion Sort,0.000935
17000,First Value,Lomuto,Insertion Sort,0.001007
18000,First Value,Lomuto,Insertion Sort,0.00105
19000,First Value,Lomuto,Insertion Sort,0.0011359999999999999
20000,Median of 3,Lomuto,Insertion Sort,0.0012259999999999999
21000,Median of 3,Lomuto,Insertion Sort,0.001274
22000,First Value,Lomuto,Insertion Sort,0.001312
23000,Median of 3,Lomuto,Insertion Sort,0.001368
24000,Median of 3,Lomuto,Insertion Sort,0.001463
25000,Median of 3,Lomuto,Insertion Sort,0.001478
26000,Median of 3,Lomuto,Insertion Sort,0.0016129999999999999
27000,Median of 3,Lomuto,Insertion Sort,0.0017230000000000001
28000,First Value,Lomuto,Insertion Sort,0.0017579999999999998
29000,Median of 3,Lomuto,Insertion Sort,0.001808
30000,First Value,Lomuto,Insertion Sort,0.001837
31000,First Value,Lomuto,Insertion Sort,0.0019100000000000002
32000,Median of 3,Lomuto,Insertion Sort,0.0019850000000000002
33000,Median of 3,Lomuto,Insertion Sort,0.002059
34000,First Value,Lomuto,Insertion Sort,0.00215
35000,First Value,Lomuto,Insertion Sort,0.002196
